,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1876,5052.787646,2411.35367,2641.433976,5052.787646,2411.35367,2641.433976,5052.787646,2411.35367,2641.433976,62.60294811,62.60294811,62.60294811
1877,5133.080056,2435.735782,2697.344274,5133.080056,2435.735782,2697.344274,5133.080056,2435.735782,2697.344274,63.64524259,63.64524259,63.64524259
1878,5202.495786,2460.989956,2741.50583,5202.495786,2460.989956,2741.50583,5202.495786,2460.989956,2741.50583,64.71120383,64.71120383,64.71120383
1879,5316.030889,2486.749301,2829.281587,5316.030889,2486.749301,2829.281587,5316.030889,2486.749301,2829.281587,65.90279841,65.90279841,65.90279841
1880,5461.989531,2509.623248,2952.366283,5461.989531,2509.623248,2952.366283,5461.989531,2509.623248,2952.366283,66.6649843,66.6649843,66.6649843
1881,5654.390074,2648.024913,3006.365161,5654.390074,2648.024913,3006.365161,5654.390074,2648.024913,3006.365161,67.70670095,67.70670095,67.70670095
1882,5548.560676,2471.224191,3077.336484,5548.560676,2471.224191,3077.336484,5548.560676,2471.224191,3077.336484,68.57787524,68.57787524,68.57787524
1883,5645.390203,2497.151688,3148.238515,5645.390203,2497.151688,3148.238515,5645.390203,2497.151688,3148.238515,69.1859791,69.1859791,69.1859791
1884,5703.004965,2508.986068,3194.018898,5703.004965,2508.986068,3194.018898,5703.004965,2508.986068,3194.018898,70.48060515,70.48060515,70.48060515
1885,5765.538461,2531.633224,3233.905236,5765.538461,2531.633224,3233.905236,5765.538461,2531.633224,3233.905236,71.60546241,71.60546241,71.60546241
1886,5812.987662,2535.558324,3277.429338,5812.987662,2535.558324,3277.429338,5812.987662,2535.558324,3277.429338,72.58254388,72.58254388,72.58254388
1887,5894.883911,2535.377123,3359.506788,5894.883911,2535.377123,3359.506788,5894.883911,2535.377123,3359.506788,73.77743063,73.77743063,73.77743063
1888,6036.173095,2534.110398,3502.062698,6036.173095,2534.110398,3502.062698,6036.173095,2534.110398,3502.062698,75.11035553,75.11035553,75.11035553
